place_id,name,address,latitude,longitude,rating,review_count
ChIJ__-v7vLu3IARPh8Oymv-bAI,Z Art Cafe,"668B Shops At Mission Viejo, Mission Viejo",33.5590952,-117.6688311,,
ChIJYeBlrUrv3IARmkMGMseTE3g,Gregorys Coffee,"555 Shops At Mission Viejo, Mission Viejo",33.5581897,-117.6689936,3.7,31
ChIJ3537Fl7v3IARYed_SQy5h9g,"Snooze, an A.M. Eatery","28141 Crown Valley Parkway Suite B, Laguna Niguel",33.5543379,-117.6852103,4.3,409
ChIJSR6EMOvv3IARl4nMPUGPCTQ,Belgium Waffle Haus,"28241 Crown Valley Parkway, Laguna Niguel",33.5543738,-117.6874121,4.6,216
ChIJA24lLpDu3IARAdWZIsZmH1c,Scotts Donuts & Cafe,"27500 Marguerite Parkway #3, Mission Viejo",33.56385849999999,-117.6574645,4.5,205
ChIJmQeNAMzu3IARyo_PzxEcYK8,Krispy Kreme,"25802 El Paseo, Mission Viejo",33.5856968,-117.6733518,4.4,1307
ChIJu2kgIrju3IARWf1813x7_2w,Starbucks,"26342 Oso Parkway, Mission Viejo",33.579716,-117.668967,4.4,239
ChIJy9pqCTrp3IARP9a828NugEg,Starbucks,"26137 La Paz Road, Mission Viejo",33.60081530000001,-117.6737006,4.2,255
ChIJMwrTHC7p3IAR0ch6SAtvDs0,Dunkin',"25242 McIntyre Street, Laguna Hills",33.59577329999999,-117.6794628,4,465
ChIJDxfpiDDp3IARTzFQZ2fHVT4,Beach Hut Deli,"26051 La Paz Road #180, Mission Viejo",33.59971590000001,-117.675493,4.6,420
ChIJ2faRaLPu3IARaPLAuYUXoew,Panera Bread,"25523 Marguerite Parkway Suite A2, Mission Viejo",33.592369,-117.6604385,4.1,323
ChIJccvdojHp3IARf7Ftq2I9bV4,McDonald's,"25192 Cabot Road, Laguna Hills",33.596672,-117.676202,3.8,1229
